
                    *******************
                    - Thermochemistry -
                    *******************


 temperature   300.000 kelvin
 pressure      1.00000 atm
 molecular mass (principal isotopes)  2377.98000 amu

 principal moments of inertia (nuclei only) in amu-A**2:
         265961.12   525004.20   634760.93

 rotational symmetry number   1

 Warning-- assumption of classical behavior for rotation
           may cause significant error

 rotational temperatures (kelvin)      0.00009     0.00005     0.00004

 zero point vibrational energy     811141.4 (joules/mol) 
                                  193.74057 (kcal/mol)
                                  0.3089428 (hartree/particle)

 Warning-- 552 vibrations have low frequencies and may represent hindered 
         internal rotations.  The contributions printed below assume that these 
         really are vibrations.


           freq.         E                  Cv                 S
          cm**-1      kcal/mol        cal/mol-kelvin    cal/mol-kelvin
--------------------------------------------------------------------------------
 Total                  408.611           1017.740           1763.274
 translational            0.894              2.979             49.162
 rotational               0.894              2.979             50.356
 vibrational            406.823           1011.783           1663.756
     1     2.833          0.596              1.986             10.522
     2     4.109          0.596              1.986              9.783
     3     5.467          0.596              1.986              9.216
     4     6.510          0.596              1.986              8.869
     5     6.924          0.596              1.986              8.747
     6     8.353          0.596              1.986              8.374
     7     8.920          0.596              1.986              8.244
     8     9.328          0.596              1.986              8.155
     9     9.460          0.596              1.986              8.127
    10    10.153          0.596              1.986              7.987
    11    11.088          0.596              1.985              7.812
    12    11.885          0.596              1.985              7.674
    13    12.804          0.596              1.985              7.526
    14    13.100          0.596              1.985              7.481
    15    13.399          0.596              1.985              7.436
    16    13.866          0.596              1.985              7.368
    17    14.041          0.596              1.985              7.343
    18    14.474          0.596              1.985              7.283
    19    15.231          0.596              1.985              7.181
    20    15.622          0.596              1.985              7.131
    21    16.126          0.596              1.985              7.068
    22    16.649          0.596              1.985              7.005
    23    17.094          0.596              1.985              6.952
    24    17.759          0.596              1.985              6.877
    25    17.942          0.596              1.985              6.856
    26    18.330          0.596              1.985              6.814
    27    19.111          0.596              1.985              6.731
    28    19.691          0.596              1.984              6.672
    29    19.959          0.596              1.984              6.645
    30    20.828          0.596              1.984              6.560
    31    21.201          0.596              1.984              6.525
    32    21.442          0.596              1.984              6.503
    33    22.272          0.596              1.984              6.427
    34    22.882          0.596              1.984              6.374
    35    23.172          0.596              1.984              6.349
    36    23.407          0.596              1.984              6.329
    37    23.680          0.596              1.984              6.306
    38    24.073          0.596              1.984              6.273
    39    24.558          0.596              1.984              6.233
    40    25.360          0.597              1.983              6.170
    41    25.552          0.597              1.983              6.155
    42    26.172          0.597              1.983              6.107
    43    26.894          0.597              1.983              6.053
    44    27.294          0.597              1.983              6.024
    45    28.672          0.597              1.983              5.926
    46    29.187          0.597              1.983              5.891
