
                    *******************
                    - Thermochemistry -
                    *******************


 temperature   300.000 kelvin
 pressure      1.00000 atm
 molecular mass (principal isotopes)  2377.98000 amu

 principal moments of inertia (nuclei only) in amu-A**2:
         265961.12   525004.20   634760.93

 rotational symmetry number   1

 Warning-- assumption of classical behavior for rotation
           may cause significant error

 rotational temperatures (kelvin)      0.00009     0.00005     0.00004

 zero point vibrational energy     811141.4 (joules/mol) 
                                  193.74057 (kcal/mol)
                                  0.3089428 (hartree/particle)

 Warning-- 552 vibrations have low frequencies and may represent hindered 
         internal rotations.  The contributions printed below assume that these 
         really are vibrations.


           freq.         E                  Cv                 S
          cm**-1      kcal/mol        cal/mol-kelvin    cal/mol-kelvin
--------------------------------------------------------------------------------
 Total                  408.611           1017.740           1763.274
 translational            0.894              2.979             49.162
 rotational               0.894              2.979             50.356
 vibrational            406.823           1011.783           1663.756
    47    29.266          0.597              1.983              5.886
    48    29.881          0.597              1.983              5.844
    49    30.248          0.597              1.982              5.820
    50    30.470          0.597              1.982              5.806
    51    30.987          0.597              1.982              5.772
    52    31.839          0.597              1.982              5.718
    53    32.577          0.597              1.982              5.673
    54    32.776          0.597              1.982              5.661
    55    33.906          0.597              1.982              5.594
    56    34.130          0.597              1.981              5.581
    57    34.200          0.597              1.981              5.577
    58    35.028          0.597              1.981              5.529
    59    35.839          0.597              1.981              5.484
    60    36.430          0.597              1.981              5.452
    61    37.073          0.597              1.981              5.417
    62    37.771          0.597              1.980              5.380
    63    38.234          0.597              1.980              5.356
    64    38.431          0.597              1.980              5.346
    65    39.147          0.598              1.980              5.309
    66    39.494          0.598              1.980              5.292
    67    39.946          0.598              1.980              5.269
    68    40.272          0.598              1.980              5.253
    69    41.184          0.598              1.979              5.209
    70    41.573          0.598              1.979              5.190
    71    41.816          0.598              1.979              5.179
    72    42.111          0.598              1.979              5.165
    73    42.584          0.598              1.979              5.143
    74    43.089          0.598              1.979              5.119
    75    43.431          0.598              1.979              5.104
    76    43.971          0.598              1.979              5.079
    77    44.054          0.598              1.979              5.075
    78    44.850          0.598              1.978              5.040
    79    45.757          0.598              1.978              5.000
    80    46.063          0.598              1.978              4.987
    81    46.667          0.598              1.978              4.961
    82    47.284          0.598              1.977              4.935
    83    47.977          0.598              1.977              4.907
    84    47.996          0.598              1.977              4.906
    85    48.194          0.598              1.977              4.898
    86    49.463          0.599              1.977              4.846
    87    49.727          0.599              1.977              4.836
    88    49.822          0.599              1.976              4.832
    89    50.275          0.599              1.976              4.814
    90    51.424          0.599              1.976              4.770
    91    52.191          0.599              1.976              4.740
    92    52.790          0.599              1.975              4.718
    93    52.933          0.599              1.975              4.712
    94    53.994          0.599              1.975              4.673
    95    54.315          0.599              1.975              4.661
    96    54.716          0.599              1.975              4.647
    97    55.300          0.599              1.974              4.626
    98    55.659          0.599              1.974              4.613
    99    55.936          0.599              1.974              4.603
   100    56.110          0.599              1.974              4.597
   101    56.683          0.599              1.974              4.577
   102    57.152          0.600              1.973              4.561
   103    57.566          0.600              1.973              4.547
   104    58.324          0.600              1.973              4.521
   105    58.631          0.600              1.973              4.511
   106    59.132          0.600              1.973              4.494
   107    59.405          0.600              1.973              4.485
   108    60.153          0.600              1.972              4.460
   109    60.605          0.600              1.972              4.445
   110    61.026          0.600              1.972              4.432
   111    61.318          0.600              1.972              4.422
   112    61.870          0.600              1.971              4.404
   113    62.117          0.600              1.971              4.397
   114    62.492          0.600              1.971              4.385
   115    63.128          0.600              1.971              4.365
   116    63.603          0.600              1.971              4.350
   117    63.859          0.600              1.970              4.342
   118    64.518          0.601              1.970              4.322
   119    65.314          0.601              1.970              4.298
   120    65.914          0.601              1.969              4.280
   121    66.079          0.601              1.969              4.275
   122    66.553          0.601              1.969              4.261
   123    67.016          0.601              1.969              4.247
   124    67.539          0.601              1.969              4.232
   125    67.952          0.601              1.968              4.220
   126    68.144          0.601              1.968              4.214
   127    68.426          0.601              1.968              4.206
   128    69.120          0.601              1.968              4.186
   129    69.645          0.601              1.968              4.171
   130    70.038          0.601              1.967              4.160
   131    70.284          0.601              1.967              4.153
   132    70.914          0.602              1.967              4.136
   133    71.416          0.602              1.967              4.122
   134    72.339          0.602              1.966              4.097
   135    72.668          0.602              1.966              4.088
   136    73.102          0.602              1.966              4.076
   137    73.708          0.602              1.965              4.060
   138    74.315          0.602              1.965              4.044
   139    74.454          0.602              1.965              4.040
   140    75.071          0.602              1.965              4.024
   141    75.270          0.602              1.964              4.019
   142    75.388          0.602              1.964              4.016
   143    76.221          0.602              1.964              3.994
   144    76.625          0.602              1.964              3.984
   145    77.394          0.603              1.963              3.964
   146    78.008          0.603              1.963              3.949
   147    78.239          0.603              1.963              3.943
   148    78.791          0.603              1.962              3.929
   149    78.957          0.603              1.962              3.925
   150    79.548          0.603              1.962              3.910
   151    79.995          0.603              1.962              3.899
   152    80.696          0.603              1.961              3.882
   153    80.839          0.603              1.961              3.879
   154    81.699          0.603              1.961              3.858
   155    82.084          0.603              1.960              3.849
   156    82.510          0.604              1.960              3.838
   157    83.124          0.604              1.960              3.824
   158    83.427          0.604              1.960              3.817
   159    83.763          0.604              1.959              3.809
   160    84.432          0.604              1.959              3.793
   161    84.913          0.604              1.959              3.782
   162    84.994          0.604              1.959              3.780
   163    85.796          0.604              1.958              3.762
   164    86.273          0.604              1.958              3.751
   165    86.836          0.604              1.957              3.738
   166    87.334          0.604              1.957              3.727
   167    87.514          0.605              1.957              3.723
   168    87.932          0.605              1.957              3.714
   169    88.280          0.605              1.956              3.706
   170    88.428          0.605              1.956              3.703
   171    89.058          0.605              1.956              3.689
   172    89.999          0.605              1.955              3.668
   173    90.496          0.605              1.955              3.658
   174    90.783          0.605              1.955              3.651
   175    91.419          0.605              1.954              3.638
   176    92.215          0.605              1.954              3.621
   177    92.761          0.606              1.953              3.609
   178    92.914          0.606              1.953              3.606
   179    93.320          0.606              1.953              3.598
   180    93.709          0.606              1.953              3.589
   181    94.157          0.606              1.952              3.580
   182    94.584          0.606              1.952              3.571
   183    95.090          0.606              1.952              3.561
   184    95.726          0.606              1.951              3.548
   185    96.735          0.606              1.951              3.527
   186    97.014          0.606              1.950              3.522
   187    97.374          0.607              1.950              3.515
   188    97.532          0.607              1.950              3.511
   189    98.157          0.607              1.950              3.499
   190    98.786          0.607              1.949              3.486
   191    99.038          0.607              1.949              3.482
   192    99.682          0.607              1.948              3.469
   193   100.190          0.607              1.948              3.459
   194   100.442          0.607              1.948              3.454
   195   100.916          0.607              1.948              3.445
   196   101.425          0.607              1.947              3.435
   197   102.009          0.608              1.947              3.424
   198   102.381          0.608              1.946              3.417
   199   102.821          0.608              1.946              3.409
   200   103.324          0.608              1.946              3.399
   201   103.563          0.608              1.946              3.395
   202   104.708          0.608              1.945              3.373
   203   105.176          0.608              1.944              3.364
   204   105.359          0.608              1.944              3.361
   205   105.935          0.609              1.944              3.350
   206   106.216          0.609              1.943              3.345
   207   107.073          0.609              1.943              3.330
   208   107.452          0.609              1.942              3.323
   209   108.085          0.609              1.942              3.311
   210   108.390          0.609              1.942              3.306
   211   108.952          0.609              1.941              3.296
   212   109.070          0.609              1.941              3.294
   213   110.238          0.610              1.940              3.273
   214   110.376          0.610              1.940              3.271
   215   111.151          0.610              1.939              3.257
   216   111.218          0.610              1.939              3.256
   217   111.854          0.610              1.939              3.245
   218   112.481          0.610              1.938              3.234
   219   112.812          0.610              1.938              3.228
   220   113.427          0.610              1.938              3.218
   221   113.822          0.611              1.937              3.211
   222   114.450          0.611              1.937              3.200
   223   114.949          0.611              1.936              3.192
   224   115.504          0.611              1.936              3.183
   225   115.994          0.611              1.935              3.175
   226   116.414          0.611              1.935              3.168
   227   117.202          0.611              1.934              3.154
   228   117.478          0.611              1.934              3.150
   229   117.779          0.612              1.934              3.145
   230   118.454          0.612              1.933              3.134
   231   118.772          0.612              1.933              3.129
   232   119.846          0.612              1.932              3.111
   233   120.868          0.612              1.931              3.095
   234   120.971          0.612              1.931              3.093
   235   121.320          0.613              1.931              3.088
   236   121.756          0.613              1.930              3.081
   237   122.651          0.613              1.930              3.067
   238   122.838          0.613              1.929              3.064
   239   123.312          0.613              1.929              3.056
   240   123.846          0.613              1.928              3.048
   241   124.383          0.613              1.928              3.040
   242   125.081          0.614              1.927              3.029
   243   125.911          0.614              1.927              3.016
   244   126.612          0.614              1.926              3.005
   245   126.858          0.614              1.926              3.002
   246   127.680          0.614              1.925              2.989
   247   127.917          0.614              1.925              2.986
   248   128.279          0.614              1.924              2.980
   249   129.484          0.615              1.923              2.962
   250   130.379          0.615              1.922              2.949
   251   131.332          0.615              1.921              2.935
   252   131.474          0.615              1.921              2.933
   253   131.854          0.616              1.921              2.927
   254   132.587          0.616              1.920              2.917
   255   133.229          0.616              1.920              2.907
   256   133.716          0.616              1.919              2.900
   257   134.136          0.616              1.919              2.894
   258   134.991          0.616              1.918              2.882
   259   135.257          0.617              1.918              2.878
   260   136.488          0.617              1.916              2.861
   261   136.756          0.617              1.916              2.857
   262   137.524          0.617              1.915              2.847
   263   138.062          0.617              1.915              2.839
   264   138.646          0.618              1.914              2.831
   265   138.857          0.618              1.914              2.828
   266   139.699          0.618              1.913              2.817
   267   140.353          0.618              1.912              2.808
   268   140.690          0.618              1.912              2.803
   269   141.388          0.618              1.911              2.794
   270   141.769          0.619              1.911              2.788
   271   142.139          0.619              1.911              2.783
   272   143.483          0.619              1.909              2.766
   273   143.618          0.619              1.909              2.764
   274   144.199          0.619              1.909              2.756
   275   144.994          0.620              1.908              2.746
   276   145.408          0.620              1.907              2.740
   277   146.159          0.620              1.906              2.730
   278   146.725          0.620              1.906              2.723
   279   147.285          0.620              1.905              2.716
   280   148.244          0.621              1.904              2.703
   281   148.921          0.621              1.903              2.695
   282   149.503          0.621              1.903              2.687
   283   150.129          0.621              1.902              2.679
   284   150.535          0.621              1.902              2.674
   285   151.624          0.622              1.901              2.660
   286   152.282          0.622              1.900              2.652
   287   153.320          0.622              1.899              2.639
   288   153.708          0.623              1.898              2.634
   289   153.834          0.623              1.898              2.633
   290   154.031          0.623              1.898              2.630
   291   155.379          0.623              1.896              2.614
   292   156.246          0.623              1.895              2.603
   293   157.446          0.624              1.894              2.589
   294   157.693          0.624              1.894              2.586
   295   158.283          0.624              1.893              2.579
   296   158.581          0.624              1.893              2.575
   297   159.711          0.625              1.891              2.562
   298   160.725          0.625              1.890              2.550
   299   160.943          0.625              1.890              2.547
   300   161.295          0.625              1.890              2.543
   301   161.417          0.625              1.889              2.542
   302   163.097          0.626              1.888              2.522
   303   163.240          0.626              1.887              2.521
   304   164.257          0.626              1.886              2.509
   305   164.888          0.627              1.885              2.502
   306   166.055          0.627              1.884              2.488
   307   166.223          0.627              1.884              2.486
   308   166.746          0.627              1.883              2.481
   309   167.383          0.627              1.882              2.473
   310   167.959          0.628              1.882              2.467
   311   168.509          0.628              1.881              2.461
   312   168.997          0.628              1.881              2.455
   313   169.995          0.628              1.879              2.444
   314   170.678          0.629              1.878              2.437
   315   171.272          0.629              1.878              2.430
   316   172.178          0.629              1.877              2.420
   317   172.778          0.630              1.876              2.414
   318   173.058          0.630              1.876              2.411
   319   173.720          0.630              1.875              2.404
   320   174.900          0.630              1.873              2.391
   321   176.088          0.631              1.872              2.378
   322   176.947          0.631              1.871              2.369
   323   177.535          0.631              1.870              2.363
   324   177.663          0.631              1.870              2.361
   325   179.127          0.632              1.868              2.346
   326   179.790          0.632              1.867              2.339
   327   180.017          0.632              1.867              2.337
   328   180.429          0.633              1.866              2.333
   329   182.135          0.633              1.864              2.315
   330   183.177          0.634              1.863              2.304
   331   183.227          0.634              1.863              2.304
   332   183.516          0.634              1.862              2.301
   333   185.183          0.634              1.860              2.284
   334   186.079          0.635              1.859              2.275
   335   186.949          0.635              1.858              2.267
   336   187.583          0.635              1.857              2.260
   337   189.060          0.636              1.855              2.246
   338   190.263          0.637              1.853              2.234
   339   190.942          0.637              1.853              2.227
   340   191.102          0.637              1.852              2.226
   341   192.767          0.638              1.850              2.210
   342   193.187          0.638              1.850              2.206
   343   193.844          0.638              1.849              2.199
   344   195.137          0.639              1.847              2.187
   345   195.318          0.639              1.847              2.185
   346   196.656          0.639              1.845              2.173
   347   197.582          0.640              1.844              2.164
   348   198.268          0.640              1.843              2.158
   349   198.951          0.640              1.842              2.151
   350   200.305          0.641              1.840              2.139
   351   200.596          0.641              1.839              2.136
   352   202.453          0.642              1.837              2.119
   353   204.330          0.643              1.834              2.102
   354   204.901          0.643              1.833              2.097
   355   205.394          0.643              1.833              2.093
   356   206.762          0.644              1.831              2.081
   357   207.615          0.644              1.829              2.073
   358   208.198          0.645              1.829              2.068
   359   209.571          0.645              1.827              2.056
   360   210.650          0.646              1.825              2.047
   361   211.059          0.646              1.824              2.043
   362   212.140          0.646              1.823              2.034
   363   212.671          0.647              1.822              2.029
   364   212.754          0.647              1.822              2.029
   365   214.725          0.648              1.819              2.012
   366   214.883          0.648              1.819              2.010
   367   216.361          0.648              1.817              1.998
   368   217.294          0.649              1.815              1.990
   369   217.638          0.649              1.815              1.987
   370   219.055          0.650              1.813              1.975
   371   219.703          0.650              1.812              1.970
   372   220.820          0.651              1.810              1.961
   373   221.774          0.651              1.809              1.953
   374   222.380          0.651              1.808              1.948
   375   223.225          0.652              1.806              1.941
   376   223.851          0.652              1.805              1.936
   377   225.811          0.653              1.802              1.921
   378   227.332          0.654              1.800              1.908
   379   227.825          0.654              1.799              1.905
   380   228.878          0.655              1.798              1.896
   381   229.571          0.655              1.797              1.891
   382   230.780          0.655              1.795              1.881
   383   231.470          0.656              1.794              1.876
   384   231.763          0.656              1.793              1.874
   385   233.490          0.657              1.791              1.861
   386   234.553          0.657              1.789              1.852
   387   234.989          0.658              1.788              1.849
   388   235.894          0.658              1.787              1.842
   389   236.832          0.659              1.785              1.835
   390   237.368          0.659              1.784              1.831
   391   237.952          0.659              1.783              1.827
   392   239.432          0.660              1.781              1.816
   393   240.484          0.660              1.779              1.808
   394   241.802          0.661              1.777              1.798
   395   242.326          0.661              1.776              1.794
   396   243.550          0.662              1.774              1.785
   397   245.351          0.663              1.772              1.772
   398   247.039          0.664              1.769              1.760
   399   248.558          0.665              1.766              1.749
   400   249.025          0.665              1.765              1.746
   401   250.817          0.666              1.763              1.733
   402   251.373          0.666              1.762              1.729
   403   253.673          0.668              1.758              1.713
   404   254.325          0.668              1.757              1.709
   405   255.797          0.669              1.754              1.699
   406   259.860          0.671              1.747              1.671
   407   261.094          0.672              1.745              1.663
   408   261.350          0.672              1.745              1.661
   409   264.492          0.674              1.739              1.640
   410   265.576          0.674              1.738              1.633
   411   268.139          0.676              1.733              1.617
   412   269.448          0.677              1.731              1.608
   413   271.693          0.678              1.727              1.594
   414   272.792          0.679              1.725              1.587
   415   274.334          0.679              1.722              1.577
   416   276.601          0.681              1.718              1.563
   417   277.368          0.681              1.717              1.558
   418   278.689          0.682              1.715              1.550
   419   279.541          0.683              1.713              1.545
   420   282.048          0.684              1.709              1.530
   421   282.963          0.685              1.707              1.524
   422   284.717          0.686              1.704              1.513
   423   285.332          0.686              1.703              1.510
   424   287.211          0.687              1.699              1.499
   425   287.683          0.688              1.698              1.496
   426   289.675          0.689              1.695              1.484
   427   292.293          0.690              1.690              1.469
   428   299.430          0.695              1.677              1.428
   429   306.577          0.700              1.663              1.389
   430   309.398          0.701              1.658              1.374
   431   312.936          0.704              1.651              1.355
   432   316.252          0.706              1.645              1.338
   433   321.032          0.709              1.636              1.313
   434   322.074          0.710              1.634              1.308
   435   324.761          0.712              1.628              1.294
   436   325.422          0.712              1.627              1.291
   437   327.618          0.714              1.623              1.280
   438   334.941          0.719              1.608              1.244
   439   335.333          0.719              1.608              1.242
   440   346.022          0.727              1.586              1.192
   441   349.072          0.729              1.580              1.178
   442   349.961          0.730              1.578              1.174
   443   353.116          0.732              1.572              1.160
   444   353.839          0.733              1.570              1.157
   445   358.968          0.736              1.560              1.134
   446   359.866          0.737              1.558              1.130
   447   360.565          0.738              1.557              1.127
   448   366.510          0.742              1.544              1.102
   449   372.886          0.747              1.531              1.076
   450   377.061          0.750              1.522              1.059
   451   378.635          0.751              1.519              1.052
   452   380.195          0.753              1.516              1.046
   453   381.329          0.753              1.513              1.041
   454   383.735          0.755              1.508              1.032
   455   384.457          0.756              1.507              1.029
   456   385.795          0.757              1.504              1.024
   457   392.030          0.762              1.491              1.000
   458   393.904          0.763              1.487              0.993
   459   395.796          0.765              1.483              0.986
   460   396.165          0.765              1.482              0.984
   461   401.502          0.770              1.471              0.965
   462   406.858          0.774              1.459              0.945
   463   409.011          0.776              1.455              0.937
   464   420.973          0.786              1.429              0.896
   465   423.200          0.788              1.424              0.888
   466   424.183          0.789              1.422              0.885
   467   424.527          0.789              1.421              0.884
   468   427.667          0.792              1.414              0.873
   469   428.822          0.793              1.412              0.870
   470   429.903          0.794              1.409              0.866
   471   432.258          0.796              1.404              0.858
   472   434.529          0.798              1.399              0.851
   473   437.130          0.800              1.394              0.843
   474   437.907          0.800              1.392              0.840
   475   442.375          0.804              1.382              0.826
   476   443.398          0.805              1.380              0.823
   477   446.631          0.808              1.373              0.813
   478   448.935          0.810              1.368              0.806
   479   451.608          0.813              1.362              0.798
   480   453.023          0.814              1.359              0.794
   481   456.205          0.817              1.352              0.784
   482   457.026          0.817              1.350              0.782
   483   458.332          0.819              1.347              0.778
   484   461.047          0.821              1.341              0.770
   485   463.937          0.824              1.335              0.762
   486   465.259          0.825              1.332              0.758
   487   466.562          0.826              1.329              0.754
   488   470.051          0.829              1.321              0.744
   489   471.695          0.831              1.318              0.740
   490   475.001          0.834              1.310              0.730
   491   477.339          0.836              1.305              0.724
   492   477.804          0.837              1.304              0.723
   493   478.398          0.837              1.303              0.721
   494   484.275          0.843              1.290              0.705
   495   485.839          0.844              1.286              0.701
   496   486.869          0.845              1.284              0.698
   497   489.098          0.847              1.279              0.692
   498   490.423          0.848              1.276              0.689
   499   496.409          0.854              1.263              0.674
   500   497.898          0.856              1.260              0.670
   501   499.266          0.857              1.257              0.666
   502   502.164          0.860              1.250              0.659
   503   505.492          0.863              1.243              0.651
   504   515.676          0.873              1.221              0.626
   505   516.892          0.874              1.218              0.623
   506   518.905          0.876              1.214              0.619
   507   525.941          0.883              1.198              0.602
   508   527.426          0.884              1.195              0.599
   509   531.199          0.888              1.187              0.591
   510   533.807          0.891              1.181              0.585
   511   536.687          0.894              1.175              0.578
   512   537.594          0.895              1.173              0.576
   513   538.953          0.896              1.170              0.574
   514   540.265          0.897              1.167              0.571
   515   543.834          0.901              1.159              0.563
   516   547.016          0.904              1.152              0.556
   517   555.661          0.913              1.133              0.538
   518   556.572          0.914              1.131              0.537
   519   559.663          0.917              1.124              0.530
   520   562.995          0.921              1.117              0.524
   521   564.688          0.922              1.114              0.520
   522   565.560          0.923              1.112              0.519
   523   567.009          0.925              1.109              0.516
   524   568.860          0.927              1.105              0.512
   525   571.154          0.929              1.100              0.508
   526   572.334          0.930              1.097              0.505
   527   574.508          0.933              1.092              0.501
   528   575.626          0.934              1.090              0.499
   529   580.290          0.939              1.080              0.490
   530   581.182          0.940              1.078              0.489
   531   583.256          0.942              1.074              0.485
   532   584.925          0.944              1.070              0.482
   533   585.473          0.944              1.069              0.481
   534   585.625          0.944              1.069              0.481
   535   592.417          0.952              1.054              0.468
   536   594.040          0.953              1.051              0.465
   537   596.123          0.956              1.046              0.462
   538   597.796          0.957              1.043              0.459
   539   599.769          0.960              1.039              0.455
   540   603.114          0.963              1.031              0.450
   541   604.620          0.965              1.028              0.447
   542   605.350          0.966              1.027              0.446
   543   607.014          0.967              1.023              0.443
   544   607.738          0.968              1.022              0.442
   545   610.666          0.971              1.016              0.437
   546   612.987          0.974              1.011              0.433
   547   615.672          0.977              1.005              0.429
   548   617.229          0.979              1.002              0.426
   549   618.046          0.980              1.000              0.425
   550   618.818          0.980              0.999              0.424
   551   620.607          0.982              0.995              0.421
   552   622.646          0.985              0.991              0.417
   553   626.207          0.989              0.983              0.412
   554   628.925          0.992              0.978              0.408
   555   633.244          0.996              0.969              0.401
   556   637.341          1.001              0.960              0.395
   557   638.023          1.002              0.959              0.394
   558   640.974          1.005              0.953              0.389
   559   643.287          1.008              0.948              0.386
   560   644.953          1.009              0.945              0.383
   561   645.844          1.010              0.943              0.382
   562   648.798          1.014              0.937              0.378
   563   651.728          1.017              0.931              0.374
   564   655.361          1.021              0.924              0.368
   565   656.201          1.022              0.922              0.367
   566   664.186          1.031              0.906              0.356
   567   664.872          1.032              0.905              0.355
   568   667.640          1.035              0.899              0.351
   569   669.034          1.037              0.896              0.350
   570   670.910          1.039              0.893              0.347
   571   672.756          1.041              0.889              0.345
   572   676.918          1.046              0.881              0.339
   573   679.139          1.049              0.876              0.336
   574   681.694          1.051              0.871              0.333
   575   683.149          1.053              0.869              0.331
   576   689.509          1.061              0.856              0.323
   577   691.722          1.063              0.852              0.320
   578   693.211          1.065              0.849              0.319
   579   695.364          1.067              0.845              0.316
   580   697.506          1.070              0.841              0.313
   581   699.788          1.073              0.836              0.311
   582   701.658          1.075              0.833              0.308
   583   705.242          1.079              0.826              0.304
   584   717.328          1.093              0.803              0.290
   585   722.972          1.100              0.793              0.284
   586   731.264          1.110              0.777              0.275
   587   735.359          1.115              0.770              0.271
   588   736.438          1.116              0.768              0.270
